Sample counting table for 90 days with 1000 emails added daily:

('date', 'domain', 'number of occurences')
------------------------------------------
('20140907', 'corrupted', 579)
('20140907', 'live.com', 68)
('20140907', 'rtMPkPIXHfC', 1)
('20140907', 'tOzpSlaol.com', 1)
('20140907', 'MLWVrKnYVaol.com', 1)
('20140907', 'QLKpmVqhcraol.com', 1)
('20140907', 'mail.ru', 79)
('20140907', 'wxnAPhaol.com', 1)
('20140907', 'UEDSyaol.com', 1)
('20140907', 'zawnbmmIGW', 1)
('20140907', 'wdxnCGQfIXDa', 1)
('20140907', 'iVuLaol.com', 1)
('20140907', 'hotmail.com', 70)
('20140907', 'I', 1)
('20140907', 'hPJXe', 1)
('20140907', 'iGWZktl', 1)
('20140907', 'gmail.com', 63)
('20140907', 'vBKaol.com', 1)
('20140907', 'clEZxRaol.com', 1)
('20140907', 'yahoo.com', 71)
('20140907', 'WqXzaol.com', 1)
('20140907', 'aol.com', 1)
('20140907', 'gmx.de', 52)
('20140907', 'RkrLpSkptIaol.com', 1)
('20140907', 'Daol.com', 1)
('20140908', 'corrupted', 572)
('20140908', 'live.com', 78)
('20140908', 'ij', 1)
('20140908', 'rTWzre', 1)
('20140908', 'mail.ru', 66)
('20140908', 'cfiFWAUYzODaol.com', 1)
('20140908', 'HgWgaol.com', 1)
('20140908', 'ymXjaol.com', 1)
('20140908', 'rUFKvFJCVaol.com', 1)
('20140908', 'Maol.com', 1)
('20140908', 'gNxLWPdA', 1)
('20140908', 'hotmail.com', 69)
('20140908', 'BnDCWaol.com', 1)
('20140908', 'JKspAaol.com', 1)
('20140908', 'Nfs', 1)
('20140908', 'gmail.com', 63)
('20140908', 'yahoo.com', 70)
('20140908', 'jxnOZZgYYSo', 1)
('20140908', 'vfWbKYm', 1)
('20140908', 'SS', 1)
('20140908', 'MeevyMIOaol.com', 1)
('20140908', 'ZcdHV', 1)
('20140908', 'gmx.de', 66)
('20140909', 'GslmXRMgcuAPMjXaol.com', 1)
('20140909', 'corrupted', 573)
('20140909', 'ZSKW', 1)
('20140909', 'live.com', 69)
('20140909', 'VtJQOMy', 1)
('20140909', 'uijpEzoixKUaol.com', 1)
('20140909', 'mail.ru', 68)
('20140909', 'Po', 1)
('20140909', 'PUDzEaol.com', 1)
('20140909', 'XfObcbbYn', 1)
('20140909', 'MbBRUokyfwEkaol.com', 1)
('20140909', 'neLCyOdNpgSk', 1)
('20140909', 'tt', 1)
('20140909', 'kMpaol.com', 1)
('20140909', 'lRuPgDTgtn', 1)
('20140909', 'qGwJlbnwyCHkHYDaol.com', 1)
('20140909', 'hotmail.com', 80)
