# Total count of domain encounters for emails recorded 30-days ago and later

('date', 'domain', 'number of occurences')
------------------------------------------
('20141205', 'KEHk', 1)
('20141205', 'Baol.com', 1)
('20141205', 'CAiCvYtWaol.com', 1)
('20141205', 'pFyEkZlVKNaol.com', 1)
('20141205', 'kXV', 1)
('20141205', 'pZfp', 1)
('20141205', 'mail.ru', 57)
('20141205', 'laol.com', 1)
('20141205', 'live.com', 85)
('20141205', 'corrupted', 587)
('20141205', 'hotmail.com', 54)
('20141205', 'BTf', 1)
('20141205', 'gmail.com', 73)
('20141205', 'tNN', 1)
('20141205', 'gmx.de', 62)
('20141205', 'rSAKYGKqMSalaol.com', 1)
('20141205', 'aol.com', 1)
('20141205', 'DXtObaRdk', 1)
('20141205', 'Txn', 1)
('20141205', 'yahoo.com', 67)
('20141205', 'dq', 1)
('20141205', 'tNxrGanCBMxZ', 1)
('20141204', 'hfiaol.com', 1)
('20141204', 'waol.com', 1)
('20141204', 'sFNjeandXyQsADR', 1)
('20141204', 'dZmynZmimpoxF', 1)
('20141204', 'zP', 1)
('20141204', 'nGa', 1)
('20141204', 'BPLaol.com', 1)
('20141204', 'zFaol.com', 1)
('20141204', 'mail.ru', 63)
('20141204', 'LqxcOkzSaol.com', 1)
('20141204', 'live.com', 71)
('20141204', 'corrupted', 590)
('20141204', 'Kgaol.com', 1)
('20141204', 'FhmBg', 1)
('20141204', 'hotmail.com', 50)
('20141204', 'mrzEGyEVKk', 1)
('20141204', 'm', 1)
('20141204', 'gmx.de', 66)
('20141204', 'JOwbaol.com', 1)
('20141204', 'vdf', 1)
('20141204', 'GaSaol.com', 1)
('20141204', 'DDJKqe', 1)
('20141204', 'aol.com', 1)
('20141204', 'Or', 1)
('20141204', 'OlfgYRAUTtkkjm', 1)
('20141204', 'qZpLhWaol.com', 1)
('20141204', 'YGF', 1)
('20141204', 'yahoo.com', 68)
('20141204', 'gmail.com', 70)
('20141203', 'eBnpzy', 1)
('20141203', 'zljo', 1)
('20141203', 'nwD', 1)
('20141203', 'corrupted', 592)
('20141203', 'FZjAfxD', 1)
('20141203', 'PsT', 1)
('20141203', 'mail.ru', 62)
('20141203', 'LFHojdvKMndyaol.com', 1)
('20141203', 'live.com', 66)
('20141203', 'scuOTk', 1)
('20141203', 'hotmail.com', 64)
('20141203', 'gmail.com', 74)
('20141203', 'yahoo.com', 56)
('20141203', 'naol.com', 1)
('20141203', 'UtX', 1)
('20141203', 'gmx.de', 69)
('20141203', 'dY', 1)
('20141203', 'afjVCH', 1)
('20141203', 'gmEhaol.com', 1)
('20141203', 'aol.com', 3)
('20141203', 'hYkZQAQRzaol.com', 1)
('20141203', 'rskyOj', 1)
('20141202', 'rr', 1)
('20141202', 'XdMaol.com', 1)
('20141202', 'vuBduDLGoVgseaol.com', 1)
('20141202', 'qdcARy', 1)
('20141202', 'hotmail.com', 82)
('20141202', 'CZaol.com', 1)
('20141202', 'dEb', 1)
('20141202', 'mail.ru', 64)
('20141202', 'AiPPlZXYIMXqoI', 1)
('20141202', 'gmail.com', 65)
('20141202', 'live.com', 70)
('20141202', 'dUaol.com', 1)
('20141202', 'corrupted', 562)
('20141202', 'U', 1)
('20141202', 'UZdHaol.com', 1)
('20141202', 'W', 1)
('20141202', 'CPZJfaol.com', 1)
('20141202', 'Ucecpaol.com', 1)
('20141202', 'NPsZFaol.com', 1)
('20141202', 'gmx.de', 66)
('20141202', 'iAqwxLVYKLbvIUJaol.com', 1)
('20141202', 'gpcUwYnE', 1)
('20141202', 'Vt', 1)
('20141202', 'aol.com', 1)
('20141202', 'm', 1)
('20141202', 'dUooqnaol.com', 1)
('20141202', 'JabKcvZmkmcvWv', 1)
('20141202', 'b', 1)
('20141202', 'yahoo.com', 69)
('20141201', 'live.com', 62)
('20141201', 'DBBpnu', 1)
